Bundesland,Bildung,Altersgr,ErwerbStatus,GeimpftGenesen,Anz
6,4,39.5,0,1,1801
6,4,39.5,0,3,827
6,4,39.5,0,2,718
6,4,39.5,0,0,857
6,4,49.5,1,1,12967
6,4,49.5,1,3,7375
6,4,49.5,1,2,2421
6,4,49.5,1,0,2190
6,4,49.5,0,1,974
6,4,49.5,0,3,244
6,4,49.5,0,2,235
6,4,49.5,0,0,470
6,4,59.5,1,1,11083
6,4,59.5,1,3,4663
6,4,59.5,1,2,1114
6,4,59.5,1,0,1337
6,4,59.5,0,1,3126
6,4,59.5,0,3,714
6,4,59.5,0,2,313
6,4,59.5,0,0,668
6,0,29.5,1,1,8
6,0,29.5,1,3,1
6,0,29.5,1,2,9
6,0,29.5,1,0,14
6,0,29.5,0,1,29
6,0,29.5,0,3,3
6,0,29.5,0,2,11
6,0,29.5,0,0,32
6,0,39.5,1,1,8
6,0,39.5,1,3,1
6,0,39.5,1,2,5
6,0,39.5,1,0,8
6,0,39.5,0,1,17
6,0,39.5,0,3,3
6,0,39.5,0,2,3
6,0,39.5,0,0,15
6,0,49.5,1,1,9
6,0,49.5,1,3,1
6,0,49.5,1,0,9
6,0,49.5,0,1,12
6,0,49.5,0,2,3
6,0,49.5,0,0,13
6,0,59.5,1,1,3
6,0,59.5,1,3,1
6,0,59.5,1,0,3
6,0,59.5,0,1,8
6,0,59.5,0,3,1
6,0,59.5,0,0,7
7,1,29.5,1,1,3381
7,1,29.5,1,3,1334
7,1,29.5,1,2,2358
7,1,29.5,1,0,2603
7,1,29.5,0,1,1321
7,1,29.5,0,3,372
7,1,29.5,0,2,834
7,1,29.5,0,0,1369
7,1,39.5,1,1,4516
7,1,39.5,1,3,1807
7,1,39.5,1,2,2357
